<fontsymbol>‘</fontsymbol>	‘ ’
<fontsymbol>!</fontsymbol>	!
<fontsymbol>#</fontsymbol>	#
<fontsymbol>%</fontsymbol>	%
<fontsymbol>&</fontsymbol>	&
<fontsymbol>(</fontsymbol>	(
<fontsymbol>)</fontsymbol>	)
<fontsymbol>+</fontsymbol>	+
<fontsymbol>,</fontsymbol>	,
<fontsymbol>.</fontsymbol>	.
<fontsymbol>/</fontsymbol>	/
<fontsymbol>0</fontsymbol>	0
<fontsymbol>1</fontsymbol>	1
<fontsymbol>2</fontsymbol>	2
<fontsymbol>3</fontsymbol>	3
<fontsymbol>4</fontsymbol>	4
<fontsymbol>5</fontsymbol>	5
<fontsymbol>6</fontsymbol>	6
<fontsymbol>7</fontsymbol>	7
<fontsymbol>8</fontsymbol>	8
<fontsymbol>9</fontsymbol>	9
<fontsymbol>:</fontsymbol>	:
<fontsymbol>;</fontsymbol>	;
<fontsymbol><</fontsymbol>	<
<fontsymbol>=</fontsymbol>	=
<fontsymbol>></fontsymbol>	>
<fontsymbol>?</fontsymbol>	?
<fontsymbol>[</fontsymbol>	[
<fontsymbol>]</fontsymbol>	]
<fontsymbol>_</fontsymbol>	_
<fontsymbol>{</fontsymbol>	{
<fontsymbol>|</fontsymbol>	|
<fontsymbol>}</fontsymbol>	}
<fontsymbol>°</fontsymbol>	°
<fontsymbol>±</fontsymbol>	±
<fontsymbol>´</fontsymbol>	×
<fontsymbol>¸</fontsymbol>	÷
<fontsymbol>Ò</fontsymbol>	®
<fontsymbol>Ó</fontsymbol>	©
<fontsymbol>Ø</fontsymbol>	¬
<fontsymbol>â</fontsymbol>	®
<fontsymbol>ã</fontsymbol>	©
<fontsymbol>¦</fontsymbol>	ƒ
<fontsymbol>A</fontsymbol>	Α
<fontsymbol>B</fontsymbol>	Β
<fontsymbol>G</fontsymbol>	Γ
<fontsymbol>D</fontsymbol>	Δ
<fontsymbol>E</fontsymbol>	Ε
<fontsymbol>Z</fontsymbol>	Ζ
<fontsymbol>H</fontsymbol>	Η
<fontsymbol>Q</fontsymbol>	Θ
<fontsymbol>I</fontsymbol>	Ι
<fontsymbol>K</fontsymbol>	Κ
<fontsymbol>L</fontsymbol>	Λ
<fontsymbol>M</fontsymbol>	Μ
<fontsymbol>N</fontsymbol>	Ν
<fontsymbol>X</fontsymbol>	Ξ
<fontsymbol>O</fontsymbol>	Ο
<fontsymbol>P</fontsymbol>	Π
<fontsymbol>R</fontsymbol>	Ρ
<fontsymbol>S</fontsymbol>	Σ
<fontsymbol>T</fontsymbol>	Τ
<fontsymbol>U</fontsymbol>	Υ
